samples ar,,,,,,stabilized samples,,,,
,,,,,,,,,,
Secco 1,,,,,,Secco 1,,,,
Tare [g],Gross before [g],Gross after [g],Ash,,,Tare [g],Gross before [g],Gross after [g],Ash,
24.4790,24.9990,24.5410,11.9%,,,24.4790,25.0054,24.5410,11.8%,
24.5450,25.3720,24.6380,11.2%,,,24.5450,25.3785,24.6380,11.2%,
24.1290,25.0610,24.2380,11.7%,,,24.1290,25.0674,24.2380,11.6%,
,,,11.6%,stb,,,,,11.5%,stb
,,av.,11.9%,dry,,,,av.,11.8%,dry
,,dev.,0.3%,,,,,dev.,0.3%,
Secco 2,,,,,,Secco 2,,,,
Tare [g],Gross before [g],Gross after [g],Ash,,,Tare [g],Gross before [g],Gross after [g],Ash,
24.2690,24.9360,24.3650,14.4%,,,24.2690,24.9436,24.3650,14.2%,
24.7280,25.4340,24.8320,14.7%,,,24.7280,25.4417,24.8320,14.6%,
24.0170,24.9230,24.1420,13.8%,,,24.0170,24.9306,24.1420,13.7%,
,,,14.3%,stb,,,,,14.2%,stb
,,av.,14.8%,dry,,,,av.,14.6%,dry
,,dev.,0.4%,,,,,dev.,0.4%,
Umido 1,,,,,,Umido 1,,,,
Tare [g],Gross before [g],Gross after [g],Ash,,,Tare [g],Gross before [g],Gross after [g],Ash,
23.4990,24.0120,23.5220,4.5%,,,24.5671,25.1987,24.6184,8.1%,
25.1350,25.6700,25.1680,6.2%,,,25.3876,26.3502,25.4485,6.3%,
24.9280,25.4000,24.9500,4.7%,,,24.5433,25.6166,24.6006,5.3%,
,,,5.3%,stb,,,,,6.6%,stb
,,av.,5.5%,dry,,,,av.,6.8%,dry
,,dev.,0.9%,,,,,dev.,1.2%,
Umido 2,,,,,,Umido 2,,,,
Tare [g],Gross before [g],Gross after [g],Ash,,,Tare [g],Gross before [g],Gross after [g],Ash,
26.1410,26.6640,26.2200,15.1%,,,26.1410,26.6681,26.2200,15.0%,
24.5750,25.1040,24.6540,14.9%,,,24.5750,25.1078,24.6540,14.8%,
25.3890,25.7130,25.4440,17.0%,,,25.3890,25.7169,25.4440,16.8%,
,,,15.7%,stb,,,,,15.5%,stb
,,av.,15.9%,dry,,,,av.,15.8%,dry
,,dev.,0.9%,,,,,dev.,0.9%,
Fanghi 1,,,,,,Fanghi 1,,,,
Tare [g],Gross before [g],Gross after [g],Ash,,,Tare [g],Gross before [g],Gross after [g],Ash,
1.0000,2.0000,1.0000,0.0%,,,24.0165,25.0263,24.1111,9.4%,
1.0000,2.0000,1.0000,0.0%,,,24.4787,25.1276,24.5417,9.7%,
1.0000,2.0000,1.0000,0.0%,,,24.7284,25.6361,24.8169,9.7%,
,,,0.0%,stb,,,,,9.6%,stb
,,av.,0.0%,dry,,,,av.,9.9%,dry
,,dev.,0.0%,,,,,dev.,0.2%,
Fanghi 2,,,,,,Fanghi 2,,,,
Tare [g],Gross before [g],Gross after [g],Ash,,,Tare [g],Gross before [g],Gross after [g],Ash,
1.0000,2.0000,1.0000,0.0%,,,24.2665,25.3010,24.3638,9.4%,
1.0000,2.0000,1.0000,0.0%,,,23.4952,24.4632,23.5859,9.4%,
1.0000,2.0000,1.0000,0.0%,,,24.1285,25.0520,24.2152,9.4%,
,,,0.0%,stb,,,,,9.4%,stb
,,av.,0.0%,dry,,,,av.,9.6%,dry
,,dev.,0.0%,,,,,dev.,0.0%,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
