Target Moisture (%) ,Final Mass (ton)   ,Water Removed (ton) ,Energy Required (GJ) ,Energy Required (MWh) ,LHV (ar) (MJ/kg)   ,Fuel Potential (MWh)
 0.0                , 969.9696639999999 , 447.964436         , 1152.836476046      ,   320.23235445722224 ,17.1870091586339   ,   4630.799305212512
 1.6666666666666667 , 986.4098277966101 , 431.5242722033898  , 1110.5277145154237  ,   308.4799206987288  ,16.85985900599     ,   4619.647394103811
 3.3333333333333335 ,1003.4168937931033 , 414.51720620689656 , 1066.7600301734483  ,   296.32223060373565 ,16.532708853346104 ,   4608.11093433619
 5.0                ,1021.0206989473683 , 396.91340105263157 , 1021.4566376089473  ,   283.7379548913742  ,16.205558700702202 ,   4596.169686506547
 6.666666666666667  ,1039.2532114285711 , 378.6808885714286  ,  974.5352667385715  ,   270.7042407607143  ,15.878408548058307 ,   4583.801965540131
 8.333333333333334  ,1058.1487243636361 , 359.78537563636365 ,  925.9076642001818  ,   257.1965733889394  ,15.551258395414406 ,   4570.984509265845
10.0                ,1077.744071111111  , 340.1900288888889  ,  875.4790393455555  ,   243.1886220404321  ,15.22410824277051  ,   4557.692332388809
11.666666666666668  ,1098.0788649056603 , 319.8552350943396  ,  823.1474475152829  ,   228.65206875424528 ,14.89695809012661  ,   4543.898563931506
13.333333333333334  ,1119.1957661538459 , 298.7383338461539  ,  768.8031021530771  ,   213.55641726474366 ,14.569807937482713 ,   4529.574265918152
15.0                ,1141.1407811764705 , 276.79331882352943 ,  712.3276059923529  ,   197.86877944232026 ,14.242657784838812 ,   4514.688230727806
16.666666666666668  ,1163.9635968       , 253.9705031999999  ,  653.5930899851999  ,   181.55363610699996 ,13.915507632194915 ,   4499.206754129846
18.333333333333336  ,1187.7179559183674 , 230.21614408163262 ,  592.4612467940815  ,   164.57256855391154 ,13.588357479551018 ,   4483.093380527886
20.0                ,1212.4620799999998 , 205.47202000000001 ,  528.78224347       ,   146.88395651944447 ,13.261207326907119 ,   4466.308616359179
21.666666666666668  ,1238.2591455319146 , 179.6749544680852  ,  462.39349532361723 ,   128.44263758989368 ,12.93405717426322  ,   4448.809606906696
23.333333333333336  ,1265.1778226086956 , 152.75627739130425 ,  393.11827986652156 ,   109.19952218514487 ,12.606907021619321 ,   4430.54977095628
25.0                ,1293.292885333333  , 124.6412146666667  ,  320.76416594466673 ,    89.10115720685188 ,12.279756868975424 ,   4411.478386741401
